詞目id,義項id,詞性,解說
1296,1759,擬聲詞,咚。東西投到井中的聲音。
2960,4086,擬聲詞,多用來形容摩托車的聲音。
2961,4087,擬聲詞,擬聲詞。
2963,4091,擬聲詞,形容小動物或細碎尖銳的聲音。常以疊詞出現。
3696,5161,擬聲詞,擬聲詞。嚼食的聲音。
3696,5162,擬聲詞,嘖。因為不耐煩或不愉快而彈舌發出的吸入音。
3712,5188,擬聲詞,心情不耐煩的時候所發出的聲音。
3712,5189,擬聲詞,吃東西時所發出較大的聲音。
4046,5719,擬聲詞,母雞生蛋後所發出一種咕咕叫的聲音。
4772,6695,擬聲詞,羊的叫聲。
4774,6699,擬聲詞,指雞叫聲。
4775,6700,擬聲詞,吐痰的聲音。
4780,6713,擬聲詞,笑聲。
4795,6732,擬聲詞,形容風聲或人的喊叫聲。
4806,6743,擬聲詞,打噴嚏的聲音。
5310,7435,擬聲詞,金石相磨的聲音。
5797,8093,擬聲詞,擬聲詞。
8162,11299,擬聲詞,咳嗽、雷聲等的擬聲詞。
8163,11301,擬聲詞,呼喚別人的發語詞。
8164,11302,擬聲詞,電話中使用的發語詞。
8170,11314,擬聲詞,呼叫雞隻的聲音。飼主要餵食野放的雞時，呼叫「喌喌」(tsû tsû)數聲，雞隻就會圍過來爭食。
8171,11315,擬聲詞,和小嬰兒玩躲迷藏遊戲時，大人忽然出現的時候發出的聲音。
8354,11543,擬聲詞,指小擊的聲音。
9350,12847,擬聲詞,嗡。蚊子的叫聲。
10522,14438,擬聲詞,咀嚼酥脆食物時所發出的清脆聲。
10979,15027,擬聲詞,手掌的拍打聲。
10979,15028,擬聲詞,心跳聲。
11854,16166,擬聲詞,形容細碎的摩擦聲。
11987,16341,擬聲詞,狀聲詞，敲打鑼鈸的聲音。
12126,16531,擬聲詞,短促的嚓嚓聲，如按相機快門或搖晃籤筒發出的聲音。
12941,17586,擬聲詞,形容睡覺打鼾的聲音。
4400,6196,擬態詞,形容筆直而長的樣子。
7663,10648,擬態詞,形容非常甜。
7907,10983,擬態詞,軟綿綿。柔軟而且富有彈性。
8797,12118,擬態詞,硬邦邦。形容物品堅硬，或辦事態度強硬、死板。
11003,15061,擬態詞,形容女人妖嬈嫵媚。
11309,15464,擬態詞,向上發展的狀態。
12283,16732,擬態詞,形容東西扭曲、凹扁、變形。
12283,16733,擬態詞,形容事情弄得一團糟。
12438,16929,擬態詞,形容非常遼闊，一望無垠。
13569,18408,擬態詞,形容堅硬、強硬。
13616,18471,數量, 一大堆、很多。
1,1,數詞,數目。
2,4,數詞,數字。
16,26,數詞,一百零一。
40,59,數詞,數字。
41,62,數詞,數字。
44,70,數詞,數字。 
48,82,數詞,數字。
49,83,數詞,數字。
54,92,數詞,數目。
55,94,數詞,數字。
162,222,數詞,數字。
163,223,數詞,數字。
174,245,數詞,最小的數字，「一」的另一種稱呼。
180,255,數詞,十個百為千。
181,257,數詞,十的百倍，十個百為千。
470,638,數詞,形容數目很多。
565,765,數詞,數字。
578,793,數詞,數字。
579,794,數詞,數字。
790,1081,數詞,數字，指二十，是二十的合音。
818,1158,數詞,二十一。
1388,1930,數詞,四十。為「四十」(sì-tsa̍p)二字的合音。
1408,1980,數詞,數字。
1409,1981,數詞,數字。
2051,2825,數詞,一萬億。
2585,3582,數詞,計數用詞，十的十倍。
2610,3646,數詞,一百二十。這是一種閩南語對於數字的獨特表述模式，從一百一十到一百九十，通常會省略百數之前的一及十位之後的十，如一百二十省略成「百二」(pah-jī)。「百二」常用來祝人長壽。千萬位數亦有同類模式，如「千三、萬二」。
2761,3814,數詞,形容數量眾多。
3582,5000,數詞,數目字，表一對、雙方之意。 
3584,5002,數詞,數目字「二」、雙也。
4380,6169,數詞,數字零。
7851,10890,數詞,一千萬左右。
9861,13540,數詞,十個千為萬。
9955,13678,數詞,一億。
10958,15000,數詞,一萬萬。
3,8,熟語,一刀斬成兩段，比喻斷絕關係。
6,13,熟語,一天到晚、從早到晚，整天。
10,18,熟語,一兩天。
136,193,熟語,人情世故。為人處世的應對進退，多用在婚喪喜慶等應酬、禮尚往來的事宜。
242,362,熟語,不時、經常。
266,397,熟語,形容猶豫不決，意志不堅。
285,417,熟語,卌為四十的意思，上卌表示人到中年的意思。這句話表示人到中年萬事休，生理機能走下坡，心理也逐漸失去青年時期意氣風發的理想。
316,460,熟語,著名的民間故事及戲曲劇目人物。梁山伯與祝英台同窗三年，才知英台是女扮男裝，二人相愛欲成夫妻，祝家卻將英台許配權貴，山伯相思而死，英台跳入山伯墳塚而亡，二人化為彩蝶，比翼雙飛。後也用來比喻苦戀的悲劇人物。
426,588,熟語,東扣西扣。指扣除的項目很多。 
442,606,熟語,非常富有且地位顯貴。
468,635,熟語,誓言感情如山的堅定、如海的深沉。多用來表示對愛情的真誠不變。
725,979,熟語,謙讓之詞，表示承受不起、不敢接受。
856,1205,熟語,亂世、天下大亂。形容國家或局勢動亂不安。
869,1219,熟語,一個多月。
884,1239,熟語,不嫌棄。通常是在受到稱讚後的謙虛用語。
886,1241,熟語,不甘心、不甘願。
908,1269,熟語,不肖之徒。罵人不像樣。
913,1275,熟語,不像話、不像樣。
937,1307,熟語,氣急攻心、火冒三丈。
953,1327,熟語,指人輾轉難眠，睡不著覺。
953,1328,熟語,形容人意志不堅，經常變換主意。
978,1360,熟語,不知死活。指不知事情輕重或利害程度，而冒昧行事。
985,1370,熟語,形容人難取悅，或事情難應付。
992,1378,熟語,不對勁。
1011,1402,熟語,反倒、反而。
1048,1443,熟語,不情不願。
