詞目id,詞目類型,漢字,羅馬字,分類
1,主詞目,一,tsi̍t,"性質、程度,數詞、量詞"
2,主詞目,一,it,"性質、程度,數詞、量詞"
3,主詞目,一刀兩斷,it-to-lióng-tuān,交際應酬
4,主詞目,一下,tsi̍t-ē,性質、程度
5,主詞目,一月日,tsi̍t gue̍h-ji̍t/tsi̍t ge̍h-li̍t,時間節令
6,主詞目,一日到暗,tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm,時間節令
7,主詞目,一世人,tsi̍t-sì-lâng,生養老死
8,主詞目,一半,tsi̍t-puànn,數詞、量詞
9,主詞目,一半个仔,tsi̍t-puànn-ê-á,數詞、量詞
10,主詞目,一半日仔,tsi̍t-puànn-ji̍t-á/tsi̍t-puànn-li̍t-á,時間節令
11,主詞目,一四界,tsi̍t-sì-kè/tsi̍t-sì-kuè,空間方位
12,主詞目,一旦,it-tàn,副詞
13,主詞目,一生,it-sing,生養老死
14,主詞目,一目𥍉仔,tsi̍t-ba̍k-nih-á,時間節令
15,主詞目,一甲子,tsi̍t kah-tsí,"時間節令,生養老死"
16,主詞目,一百空一,tsi̍t-pah khòng-it,數詞、量詞
17,主詞目,一來,it--lâi,副詞
18,主詞目,一定,it-tīng,"境況、狀態-擬事,副詞"
19,主詞目,一直,it-ti̍t,副詞
20,主詞目,一律,it-lu̍t,副詞
21,主詞目,一致,it-tì,
22,主詞目,一面,tsi̍t-bīn,副詞
23,主詞目,一垺屎,tsi̍t-pû-sái,
24,主詞目,一屑仔,tsi̍t-sut-á,性質、程度
25,主詞目,一家伙仔,tsi̍t-ke-hué-á/tsi̍t-ke-hé-á,宗族、家庭
26,主詞目,一般,it-puann,性質、程度
27,主詞目,一粒一,it-lia̍p-it,性質、程度
28,主詞目,一睏仔,tsi̍t-khùn-á,時間節令
29,主詞目,一概,it-khài,性質、程度
30,主詞目,一路,tsi̍t-lōo,旅行
31,主詞目,一寡,--tsi̍t-kuá,性質、程度
32,主詞目,一寡仔,tsi̍t-kuá-á,性質、程度
33,主詞目,一對時,tsi̍t tuì-sî,時間節令
34,主詞目,一霎仔久,tsi̍t-tiap-á-kú,時間節令
35,主詞目,一點仔,tsi̍t-tiám-á,性質、程度
36,主詞目,一礐屎,tsi̍t-ha̍k-sái,
37,主詞目,一觸久仔,tsi̍t-tak-kú-á,時間節令
38,主詞目,乙,it,"時間節令,性質、程度"
39,主詞目,丁,ting,"時間節令,泛稱,宗族、家庭"
40,主詞目,七,tshit,數詞、量詞
41,主詞目,九,káu,"性質、程度,數詞、量詞"
42,主詞目,九,kiú,"性質、程度,數詞、量詞"
43,主詞目,了,liáu,
44,主詞目,二,jī/lī,數詞、量詞
45,主詞目,人,jîn/lîn,泛稱
46,主詞目,人,lâng,泛稱
47,主詞目,入,ji̍p/li̍p,"財務單位、活動,一般動詞-行為動詞"
48,主詞目,八,pat,數詞、量詞
49,主詞目,八,peh/pueh,數詞、量詞
50,主詞目,刀,to,"生活用品,數詞、量詞"
51,主詞目,刁,tiau,"心理狀態,待人處事"
52,主詞目,力,la̍t,反應、表情
53,主詞目,力,li̍k,事、物泛稱
54,主詞目,十,tsa̍p,"性質、程度,數詞、量詞"
55,主詞目,十,si̍p,"性質、程度,數詞、量詞"
56,主詞目,卜,poh,"宗族、家庭,心理活動,相關器具、活動"
57,主詞目,卜,pok,"宗族、家庭,心理活動,相關器具、活動"
58,主詞目,又,iū,副詞
59,主詞目,十一哥,tsa̍p-it-ko,泛稱
60,主詞目,了了,liáu-liáu,"境況、狀態-擬事,副詞"
61,主詞目,了了,--liáu-liáu,"境況、狀態-擬事,副詞"
62,主詞目,人人,lâng-lâng,泛稱
63,主詞目,十二分,tsa̍p-jī-hun/tsa̍p-lī-hun,性質、程度
64,主詞目,十二生相,tsa̍p-jī senn-siùnn/tsa̍p-lī sinn-siùnn,神明、鬼怪、教派
65,主詞目,十二指腸,si̍p-jī-tsí-tn̂g/si̍p-lī-tsí-tn̂g,生理構造
66,主詞目,二九暝,Jī-káu-mê/Lī-káu-mî,時間節令
67,主詞目,十八骰仔,si̍p-pat-tâu-á,休閒、娛樂
68,主詞目,十八變,tsa̍p-peh-piàn/tsa̍p-pueh-piàn,形貌、體積
69,主詞目,七夕,tshit-sia̍h,"時間節令,生活狀況,相關器具、活動"
70,主詞目,了工,liáu-kang,
71,主詞目,人工,lâng-kang,"泛稱,服務業及其他,錢財資產"
72,主詞目,人才,lâng-tsâi,體態樣貌
73,主詞目,入土,ji̍p-thóo/li̍p-thóo,生養老死
74,主詞目,刁工,thiau-kang,心理狀態
75,主詞目,人中,jîn-tiong/lîn-tiong,生理構造
76,主詞目,七孔,tshit-khóng,生理構造
77,主詞目,九孔,káu-kháng,"魚蝦海獸,食物、飲料、煙酒"
78,主詞目,二手,jī-tshiú/lī-tshiú,"地位、身世、背景,相關用語"
79,主詞目,入木,ji̍p-bo̍k/li̍p-bo̍k,"生養老死,婚喪喜慶"
80,主詞目,八仙,pat-sian,神明、鬼怪、教派
81,主詞目,刀仔,to-á,生活用品
82,主詞目,八仙桌,pat-sian-toh,"生活用品,相關器具、活動"
83,主詞目,八仙綵,pat-sian-tshái,"婚喪喜慶,相關器具、活動"
84,主詞目,刁古董,tiau-kóo-tóng,"心理狀態,待人處事"
85,主詞目,了本,liáu-pún,財務單位、活動
86,主詞目,人民,jîn-bîn/lîn-bîn,國家、社會、民眾
87,主詞目,人生,jîn-sing/lîn-sing,生養老死
88,主詞目,刀石,to-tsio̍h,生活用品
89,主詞目,十全,tsa̍p-tsn̂g,性質、程度
90,主詞目,十全,si̍p-tsuân,"醫療保健,性質、程度"
91,主詞目,八字,peh-jī/pueh-lī,"生養老死,相關器具、活動"
92,主詞目,七字仔,tshit-jī-á/tshit-lī-á,"文學、藝術,戲劇、音樂"
93,主詞目,十字架,si̍p-jī-kè/si̍p-lī-kè,"神明、鬼怪、教派,相關器具、活動"
94,主詞目,八字跤,pat-jī-kha/pat-lī-kha,體態樣貌
95,主詞目,十字路,si̍p-jī-lōo/si̍p-lī-lōo,道路、橋梁
96,主詞目,七早八早,tshit-tsá-peh-tsá/tshit-tsá-pueh-tsá,時間節令
97,主詞目,入耳,ji̍p-ní/li̍p-ní,反應、表情
98,主詞目,刀肉,to-bah,生活用品
99,主詞目,七老八老,tshit-lāu-peh-lāu/tshit-lāu-pueh-lāu,生養老死
100,主詞目,了尾仔囝,liáu-bué-á-kiánn/liáu-bé-á-kiánn,宗族、家庭
101,主詞目,二步七仔,--jī-pōo-tshit-á/--lī-pōo-tshit-á,才智能力
102,主詞目,八角,peh-kak/pueh-kak,"食物、飲料、煙酒,形貌、體積"
103,主詞目,十足,tsa̍p-tsiok,性質、程度
104,主詞目,九芎仔,kiú-kiong-á,"花草樹木,醫療保健"
105,主詞目,人事,jîn-sū/lîn-sū,"服務業及其他,交際應酬"
106,主詞目,八卦,pat-kuà,"魚蝦海獸,相關器具、活動"
107,主詞目,卜卦,pok-kuà,相關器具、活動
108,主詞目,二房,jī-pâng/lī-pâng,"宗族、家庭,稱謂輩分"
109,主詞目,人物,jîn-bu̍t/lîn-bu̍t,"才智能力,戲劇、音樂"
110,主詞目,十花五色,tsa̍p-hue-gōo-sik,
111,主詞目,入門,ji̍p-mn̂g/li̍p-mn̂g,"兩性、婚姻,房屋租賃、搬遷,教育、學術,性質、程度"
112,主詞目,人客,lâng-kheh,"婚喪喜慶,交際應酬"
113,主詞目,了後,liáu-āu,時間節令
114,主詞目,七星,tshit-tshenn/tshit-tshinn,天文
115,主詞目,二指,jī-tsáinn/lī-tsáinn,生理構造
116,主詞目,刁持,tiau-tî,心理狀態
117,主詞目,刁故意,tiau-kòo-ì,心理狀態
118,主詞目,刀柄,to-pènn/to-pìnn,生活用品
119,主詞目,八珍,pat-tin,"道德評價,醫療保健,食物、飲料、煙酒"
120,主詞目,人面,lâng-bīn,交際應酬
121,主詞目,人倫,jîn-lûn/lîn-lûn,宗族、家庭
122,主詞目,人員,jîn-uân/lîn-uân,"服務業及其他,相關用語"
123,主詞目,入厝,ji̍p-tshù/li̍p-tshù,房屋租賃、搬遷
124,主詞目,七娘媽,Tshit-niû-má,神明、鬼怪、教派
125,主詞目,七娘媽生,Tshit-niû-má-senn/Tshit-niû-má-sinn,"時間節令,生活狀況,相關器具、活動"
126,主詞目,人家,jîn-ke/lîn-ke,宗族、家庭
127,主詞目,人家厝仔,jîn-ke-tshù-á/lîn-ke-tshù-á,建築物、結構
128,主詞目,八家將,pat-ka-tsiòng,神明、鬼怪、教派
129,主詞目,人格,jîn-keh/lîn-keh,道德評價
130,主詞目,人氣,jîn-khì/lîn-khì,交際應酬
131,主詞目,刀砧,to-tiam,"生活用品,飲食物具"
132,主詞目,人馬,jîn-má/lîn-má,組織團體
133,主詞目,入院,ji̍p-īnn/li̍p-īnn,醫療保健
134,主詞目,人參,jîn-sim/lîn-sim,"蔬果作物,醫療保健"
135,主詞目,人情,jîn-tsîng/lîn-tsîng,交際應酬
136,主詞目,人情世事,jîn-tsîng-sè-sū/lîn-tsîng-sè-sū,交際應酬
137,主詞目,入教,ji̍p-kàu/li̍p-kàu,相關器具、活動
138,主詞目,人望,jîn-bōng/lîn-bōng,地位、身世、背景
